2018/11/19 21:20:13 [error] 1578#1578: *349 open() "/app/static/cache/products/7/catalog_list_4.jpg" failed (2: No such file or directory), client: 10.0.2.2, server: static.shop.dev, request: "GET /cache/products/7/catalog_list_4.jpg HTTP/1.1", host: "static.shop.dev:9999", referrer: "http://shop.dev:9999/shop/catalog/index"
2018/11/19 21:20:47 [error] 1578#1578: *349 open() "/app/static/cache/products/7/catalog_list_4.jpg" failed (2: No such file or directory), client: 10.0.2.2, server: static.shop.dev, request: "GET /cache/products/7/catalog_list_4.jpg HTTP/1.1", host: "static.shop.dev:9999", referrer: "http://shop.dev:9999/shop/catalog/category?id=6"
2018/11/19 21:20:50 [error] 1578#1578: *349 open() "/app/static/cache/products/7/catalog_list_4.jpg" failed (2: No such file or directory), client: 10.0.2.2, server: static.shop.dev, request: "GET /cache/products/7/catalog_list_4.jpg HTTP/1.1", host: "static.shop.dev:9999", referrer: "http://shop.dev:9999/shop/catalog/category?id=7"
2018/11/19 21:20:53 [error] 1578#1578: *349 open() "/app/static/cache/products/7/catalog_list_4.jpg" failed (2: No such file or directory), client: 10.0.2.2, server: static.shop.dev, request: "GET /cache/products/7/catalog_list_4.jpg HTTP/1.1", host: "static.shop.dev:9999", referrer: "http://shop.dev:9999/shop/catalog/category?id=7"
2018/11/19 21:20:54 [error] 1578#1578: *349 open() "/app/static/cache/products/7/catalog_list_4.jpg" failed (2: No such file or directory), client: 10.0.2.2, server: static.shop.dev, request: "GET /cache/products/7/catalog_list_4.jpg HTTP/1.1", host: "static.shop.dev:9999", referrer: "http://shop.dev:9999/shop/catalog/category?id=6"
2018/11/20 13:16:05 [error] 1578#1578: *360 open() "/app/static/cache/products/7/catalog_list_4.jpg" failed (2: No such file or directory), client: 10.0.2.2, server: static.shop.dev, request: "GET /cache/products/7/catalog_list_4.jpg HTTP/1.1", host: "static.shop.dev:9999", referrer: "http://shop.dev:9999/shop/catalog/category?id=6"
2018/11/20 14:18:50 [error] 1578#1578: *367 open() "/app/static/cache/products/7/catalog_list_4.jpg" failed (2: No such file or directory), client: 10.0.2.2, server: static.shop.dev, request: "GET /cache/products/7/catalog_list_4.jpg HTTP/1.1", host: "static.shop.dev:9999", referrer: "http://shop.dev:9999/"
2018/11/20 14:18:52 [error] 1578#1578: *367 open() "/app/static/cache/products/7/catalog_list_4.jpg" failed (2: No such file or directory), client: 10.0.2.2, server: static.shop.dev, request: "GET /cache/products/7/catalog_list_4.jpg HTTP/1.1", host: "static.shop.dev:9999", referrer: "http://shop.dev:9999/catalog"
2018/11/20 14:18:54 [error] 1578#1578: *367 open() "/app/static/cache/products/7/catalog_list_4.jpg" failed (2: No such file or directory), client: 10.0.2.2, server: static.shop.dev, request: "GET /cache/products/7/catalog_list_4.jpg HTTP/1.1", host: "static.shop.dev:9999", referrer: "http://shop.dev:9999/shop/catalog/category?id=6"
2018/11/20 14:18:56 [error] 1578#1578: *367 open() "/app/static/cache/products/7/catalog_list_4.jpg" failed (2: No such file or directory), client: 10.0.2.2, server: static.shop.dev, request: "GET /cache/products/7/catalog_list_4.jpg HTTP/1.1", host: "static.shop.dev:9999", referrer: "http://shop.dev:9999/shop/catalog/category?id=7"
2018/11/20 14:19:00 [error] 1578#1578: *367 open() "/app/static/cache/products/7/catalog_list_4.jpg" failed (2: No such file or directory), client: 10.0.2.2, server: static.shop.dev, request: "GET /cache/products/7/catalog_list_4.jpg HTTP/1.1", host: "static.shop.dev:9999", referrer: "http://shop.dev:9999/shop/catalog/category?id=7"
2018/11/20 14:28:47 [error] 1578#1578: *380 open() "/app/static/cache/products/7/catalog_list_4.jpg" failed (2: No such file or directory), client: 10.0.2.2, server: static.shop.dev, request: "GET /cache/products/7/catalog_list_4.jpg HTTP/1.1", host: "static.shop.dev:9999", referrer: "http://shop.dev:9999/"
